store_id;item_id;cat_id;dept_id;date;ground_truth;yhat;yhat_second;yhat_lower_adjusted;yhat_upper_adjusted
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2014-12-29;2;1.978405091565138;1.7388002243171206;1.6285120136766302;2.825252229111474
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-01-05;4;1.9001485397888016;1.630376148278899;1.5640956131831143;2.713498322749577
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-01-12;1;2.0832160713230543;1.801683418719356;1.714786528652708;2.9749270633801976
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-01-19;4;2.053041706825386;1.786453428592513;1.6899486856351107;2.931836701895323
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-01-26;0;1.6118782077150244;1.3731391490620763;1.3268076578648689;2.30183520999756
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-02-02;2;1.1153055829809102;0.8944738539289945;0.9180569482704598;1.5927069728497731
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-02-09;0;1.088742094106843;0.865019531854059;0.8961913753698355;1.5547731055773912
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-02-16;3;1.617372511486399;1.3784907085701732;1.3313302603069166;2.3096813250544166
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-02-23;0;2.2240302102737304;1.9734973810088097;1.8306968232401983;3.176016042405256
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-03-02;1;2.3914670908031943;2.139133807765541;1.968521464228691;3.415123504253276
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-03-09;1;2.131557346041801;1.8807044972194644;1.7545783523654346;3.043960596876203
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-03-16;0;1.941492270040877;1.6867011412357469;1.5981274510977883;2.7725390452752414
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-03-23;1;2.196561490367696;1.932150864037928;1.8080861149691705;3.1367894641497545
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-03-30;2;2.6835733475165267;2.410703680486219;2.2089669373807244;3.832264491422829
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-04-06;1;2.816697325949669;2.541052708263328;2.3185471235170696;4.022371572333584
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-04-13;2;2.2935212614434866;2.017968185964841;1.887897955685444;3.2752524162185352
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-04-20;2;1.453431856875984;1.1752812578718612;1.1963835162344671;2.0755666324392417
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-04-27;4;0.9482097151876572;0.6635738980234666;0.7805130098236783;1.3540864926604854
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-05-04;3;1.1009046333869443;0.8095879687640822;0.9062028949615027;1.57214176347221
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-05-11;1;1.638441318367695;1.3432101573925483;1.348672919434871;2.339768537152628
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-05-18;1;2.0288281938173007;1.7309795588376782;1.6700174809515504;2.897258706775732
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-05-25;2;2.000917619259252;1.6985986674460731;1.6470430627344794;2.8574011400306283
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-06-01;3;1.702196841698686;1.3934799894226442;1.401152887326897;2.4308143169967096
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-06-08;0;1.419840452592117;1.1058713383298506;1.1687329578802783;2.027596583111831
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-06-15;0;1.2560553402095338;0.9397616832523572;1.0339142474384224;1.7937040118548029
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-06-22;1;1.1074415825755748;0.7896412157543066;0.911583744582172;1.5814768234887386
WI_1;HOBBIES_1_321;HOBBIES;HOBBIES_1;2015-06-29;3;0.8881677556525593;0.5665019449502753;0.7310898391876591;1.2683438503977946
